banheiros;quartos;andar;area;suites;aluguel;custo;condo_iptu;vagas;nao_mobiliado;animal;arm_coz;arm_quar;box;arm_ban;sol_man;silencio;novo;luz;sol_tar;vista_livre;chuveiro_ele;tomada_nova;gas_enc;porteiro;elevador;salao_fest;piscina;churrasqueira;metro;esp_gourmet;quadra;academia;hipercentro;zona_sul;zona_norte;zona_leste;zona_oeste;apartamento;casa;latitude;longitude
2;2;0;84;0;2340;167612;165240;0;0;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,937136;-43,943398
7;4;17;548;4;15000;23589;8389;6;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,977018;-43,94447
5;4;19;362;4;15000;21313;6113;5;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9760395;-43,942693
5;4;29;305;4;14000;21022;6835;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9780896;-43,9449082
4;5;3;320;3;3350;20795;17400;4;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9292313;-43,9441545
5;5;17;510;4;14000;20287;6100;4;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;-19,9437325;-43,9220479
5;4;15;312;4;15000;20097;4897;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;1;0;-19,9307598;-43,9249569
4;3;16;344;2;15000;19589;4389;4;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9732162;-43,9408819
4;4;13;300;2;15000;18150;2950;3;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;-19,9336411;-43,9414415
4;4;13;240;2;15000;17985;2785;6;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,977773;-43,9443954
4;2;12;200;1;15000;17924;2724;3;1;1;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0;-19,9379469;-43,9407501
3;2;12;202;1;15000;17900;2700;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;-19,9379469;-43,9407501
5;5;15;520;3;15000;17850;2650;2;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;0;-19,9313951;-43,9340861
5;4;7;287;4;15000;17701;2501;4;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9763501;-43,9347357
7;4;15;402;2;15000;17482;2282;4;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,977799;-43,934674
4;3;6;217;3;15000;17400;2200;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;-19,9659939;-43,9450572
6;4;14;420;2;15000;17367;2167;5;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,977799;-43,934674
4;4;10;500;3;11900;17159;5100;6;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;-19,944257;-43,917161
7;5;0;1000;5;14980;17130;1904;8;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;-19,8621448;-43,9849189
5;4;15;247;4;12500;16920;4253;4;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9739049;-43,937584
7;5;0;500;5;15000;16913;1667;8;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,937117;-43,950356
3;5;0;600;0;15000;16913;1667;6;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;-19,9280715;-43,9456602
6;4;2;300;4;13000;16911;3737;4;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;-19,9352351;-43,9445209
5;6;0;662;1;15000;16571;1300;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;-19,8598803;-43,9848059
4;5;0;350;1;15000;16566;1320;4;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9297726;-43,9220244
6;7;0;700;2;15000;16407;1161;5;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;-19,9519636;-43,9167839
6;5;0;580;3;15000;16399;1153;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9380912;-43,9486868
5;5;0;649;1;15000;16311;1065;6;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;-19,9519636;-43,9167839
4;4;0;500;2;15000;16267;1021;6;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;-19,8574355;-43,9761451
6;6;0;802;3;15000;16249;1003;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;-19,860968;-43,990637
5;5;0;474;3;15000;16236;990;7;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9613981;-43,9522279
7;10;0;800;4;15000;16214;943;4;0;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;-19,9533818;-43,9136619
4;4;8;450;1;12700;16100;3230;4;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,936068;-43,943101
6;5;10;434;3;11000;15968;4821;5;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;-19,9731962;-43,9401672
4;4;7;205;2;11900;15859;3800;4;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;-19,9769104;-43,943475
5;4;10;274;4;13000;15811;2637;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;-19,9773898;-43,9390963
5;6;0;600;2;15000;15688;417;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;-19,9151863;-43,9191404
7;7;0;465;7;15000;15681;435;2;0;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;-19,9280637;-43,919256
6;4;0;500;4;15000;15680;434;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9649094;-43,9344237
4;5;0;300;1;15000;15663;417;3;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,9543414;-43,9379073
4;4;0;470;4;15000;15641;392;5;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;-19,9790001;-43,9782341
3;4;8;450;1;12750;15637;2717;4;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9313732;-43,9419776
6;7;0;500;5;15000;15630;384;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,966434;-43,9526063
7;5;0;449;3;15000;15554;308;4;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,956777;-43,950466
6;5;0;471;1;14000;15527;1297;3;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;1;-19,940319;-43,952861
6;4;3;553;4;10870;15274;4259;3;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;-19,9343592;-43,9366373
7;8;0;800;5;14000;15087;834;4;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;-19,9534773;-43,9137545
5;8;0;330;2;12000;14872;2655;3;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;-19,937815;-43,950279
